account_id,company_name,industry,amount,days_overdue,payment_history_score,shipment_volume_30d,shipment_volume_change_30d,express_ratio,destination_diversity,email_opened,contact_attempts,dispute_flag,customer_tenure_months,region,outcome
ACC0018,Surya Enterprises,Food & Beverage,110000,59,0.60,32,0.00,0.42,9,FALSE,3,FALSE,28,Central,1
ACC0019,Rapid Exports,E-commerce,3200000,45,0.88,150,0.42,0.90,40,TRUE,1,FALSE,78,South,1
ACC0020,Vijay Textiles,Textile,195000,130,0.30,12,-0.40,0.20,4,FALSE,9,TRUE,15,East,0
ACC0021,InfoEdge Logistics,Retail,72000,39,0.74,22,0.12,0.38,6,TRUE,2,FALSE,44,West,1
ACC0022,Global Manufacturing,Manufacturing,1350000,70,0.52,38,-0.08,0.33,11,FALSE,5,FALSE,20,North,0
ACC0023,Bharat Traders Pvt Ltd,Technology,92000,32,0.84,70,0.25,0.78,20,TRUE,1,FALSE,52,South,1
ACC0024,Zenith Constructions,Construction,2500000,160,0.38,8,-0.30,0.12,2,FALSE,10,TRUE,10,Central,0
ACC0025,Red Healthcare,Healthcare,480000,50,0.76,45,0.08,0.65,12,TRUE,2,FALSE,64,East,1
ACC0026,Lakshmi Industries,Food & Beverage,140000,65,0.58,28,-0.03,0.48,8,FALSE,4,FALSE,26,West,1
ACC0027,Tata Exports,E-commerce,3800000,41,0.91,160,0.48,0.92,42,TRUE,0,FALSE,82,North,1
ACC0028,Aditya Textiles,Textile,210000,105,0.45,15,-0.25,0.22,5,FALSE,8,FALSE,16,South,0
ACC0029,National Solutions,Technology,80000,34,0.77,58,0.16,0.73,17,TRUE,1,FALSE,49,East,1
ACC0030,Blue Manufacturing,Manufacturing,1700000,92,0.49,48,-0.15,0.29,13,FALSE,7,TRUE,21,West,0
ACC0031,Ganesh Logistics Pvt Ltd,Retail,105000,57,0.68,26,0.01,0.41,7,TRUE,3,FALSE,34,Central,1
ACC0032,Reliance Pharma,Healthcare,520000,37,0.81,41,0.06,0.62,12,TRUE,1,FALSE,68,North,1
ACC0033,Apex Constructions,Construction,2300000,145,0.41,10,-0.28,0.08,3,FALSE,9,TRUE,13,South,0
ACC0034,Surya Traders,Food & Beverage,130000,63,0.59,30,-0.01,0.44,8,FALSE,4,FALSE,29,East,1
ACC0035,Rapid Tech,Technology,90000,33,0.86,62,0.20,0.76,18,TRUE,1,FALSE,51,West,1
ACC0036,Vijay Exports,E-commerce,3400000,43,0.89,140,0.45,0.89,38,TRUE,1,FALSE,80,North,1
ACC0037,InfoEdge Textiles,Textile,205000,115,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,14,South,0
ACC0038,Global Enterprises,Retail,78000,38,0.75,24,0.14,0.39,6,TRUE,2,FALSE,42,East,1
ACC0039,Bharat Manufacturing Pvt Ltd,Manufacturing,1550000,75,0.51,36,-0.10,0.31,10,FALSE,5,FALSE,19,West,0
ACC0040,Zenith Solutions,Technology,94000,31,0.85,75,0.28,0.80,21,TRUE,0,FALSE,54,Central,1
ACC0041,Red Logistics,Healthcare,580000,46,0.73,43,0.07,0.64,12,TRUE,2,FALSE,62,North,1
ACC0042,Lakshmi Constructions,Construction,2600000,155,0.39,7,-0.32,0.11,2,FALSE,10,TRUE,11,South,0
ACC0043,Tata Industries,Food & Beverage,115000,61,0.61,29,0.01,0.43,8,FALSE,4,FALSE,27,East,1
ACC0044,Aditya Exports,E-commerce,3600000,42,0.90,155,0.47,0.91,41,TRUE,1,FALSE,81,West,1
ACC0045,National Textiles Pvt Ltd,Textile,198000,125,0.32,13,-0.42,0.21,4,FALSE,9,TRUE,17,North,0
ACC0046,Blue Tech,Technology,86000,35,0.79,60,0.19,0.74,17,TRUE,1,FALSE,47,South,1
ACC0047,Ganesh Manufacturing,Manufacturing,1450000,85,0.53,40,-0.14,0.32,11,FALSE,6,FALSE,23,East,0
ACC0048,Reliance Traders,Retail,112000,56,0.69,27,0.00,0.42,7,TRUE,3,FALSE,33,West,1
ACC0049,Apex Pharma,Healthcare,500000,39,0.83,42,0.04,0.61,12,TRUE,1,FALSE,65,Central,1
ACC0050,Surya Constructions,Construction,2400000,165,0.37,9,-0.31,0.09,3,FALSE,10,TRUE,10,North,0
ACC0051,Rapid Logistics,Food & Beverage,128000,64,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,South,1
ACC0052,Vijay Exports Pvt Ltd,E-commerce,3300000,44,0.87,145,0.44,0.88,39,TRUE,1,FALSE,79,East,1
ACC0053,InfoEdge Textiles,Textile,208000,118,0.34,12,-0.39,0.18,4,FALSE,8,FALSE,15,West,0
ACC0054,Global Solutions,Technology,82000,36,0.76,56,0.17,0.75,16,TRUE,1,FALSE,46,North,1
ACC0055,Bharat Manufacturing,Manufacturing,1500000,80,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,20,South,0
ACC0056,Zenith Traders,Retail,108000,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,35,East,1
ACC0057,Red Pharma,Healthcare,530000,38,0.80,40,0.06,0.63,12,TRUE,1,FALSE,67,West,1
ACC0058,Lakshmi Constructions Pvt Ltd,Construction,2700000,170,0.36,6,-0.33,0.10,2,FALSE,10,TRUE,9,Central,0
ACC0059,Tata Enterprises,Food & Beverage,118000,60,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,North,1
ACC0060,Aditya Exports,E-commerce,3700000,40,0.93,165,0.50,0.93,43,TRUE,0,FALSE,83,South,1
ACC0061,National Textiles,Textile,200000,122,0.33,14,-0.41,0.19,4,FALSE,9,TRUE,16,East,0
ACC0062,Blue Tech,Technology,89000,34,0.81,64,0.21,0.77,18,TRUE,1,FALSE,53,West,1
ACC0063,Ganesh Manufacturing,Manufacturing,1650000,90,0.47,44,-0.16,0.28,12,FALSE,7,TRUE,22,North,0
ACC0064,Reliance Logistics,Retail,115000,55,0.70,28,0.01,0.43,7,TRUE,3,FALSE,37,South,1
ACC0065,Apex Pharma Pvt Ltd,Healthcare,560000,37,0.82,41,0.07,0.62,12,TRUE,1,FALSE,66,East,1
ACC0066,Surya Constructions,Construction,2450000,158,0.40,8,-0.29,0.09,3,FALSE,9,TRUE,12,West,0
ACC0067,Rapid Enterprises,Food & Beverage,122000,62,0.59,31,-0.01,0.44,8,FALSE,4,FALSE,28,Central,1
ACC0068,Vijay Exports,E-commerce,3500000,42,0.89,150,0.46,0.90,40,TRUE,1,FALSE,80,North,1
ACC0069,InfoEdge Textiles,Textile,215000,112,0.35,10,-0.37,0.20,4,FALSE,8,FALSE,15,South,0
ACC0070,Global Solutions,Technology,84000,35,0.78,59,0.18,0.76,17,TRUE,1,FALSE,48,East,1
ACC0071,Bharat Manufacturing,Manufacturing,1580000,82,0.51,39,-0.13,0.31,11,FALSE,6,TRUE,20,West,0
ACC0072,Zenith Traders Pvt Ltd,Retail,110000,56,0.68,27,0.00,0.41,7,TRUE,3,FALSE,36,North,1
ACC0073,Red Pharma,Healthcare,540000,39,0.81,40,0.05,0.64,12,TRUE,1,FALSE,65,South,1
ACC0074,Lakshmi Constructions,Construction,2650000,168,0.37,7,-0.31,0.10,2,FALSE,10,TRUE,10,East,0
ACC0075,Tata Enterprises,Food & Beverage,116000,61,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,West,1
ACC0076,Aditya Exports,E-commerce,3650000,41,0.91,158,0.48,0.91,41,TRUE,0,FALSE,82,Central,1
ACC0077,National Textiles,Textile,202000,120,0.34,13,-0.40,0.20,4,FALSE,9,TRUE,17,North,0
ACC0078,Blue Tech Pvt Ltd,Technology,87000,33,0.80,62,0.20,0.78,18,TRUE,1,FALSE,50,South,1
ACC0079,Ganesh Manufacturing,Manufacturing,1480000,88,0.52,42,-0.15,0.29,11,FALSE,6,FALSE,21,East,0
ACC0080,Reliance Logistics,Retail,113000,57,0.69,26,0.01,0.42,7,TRUE,3,FALSE,34,West,1
ACC0081,Apex Pharma,Healthcare,510000,38,0.83,42,0.04,0.61,12,TRUE,1,FALSE,64,North,1
ACC0082,Surya Constructions,Construction,2550000,162,0.38,9,-0.30,0.09,3,FALSE,10,TRUE,11,South,0
ACC0083,Rapid Enterprises,Food & Beverage,125000,63,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,East,1
ACC0084,Vijay Exports,E-commerce,3400000,43,0.88,145,0.44,0.89,39,TRUE,1,FALSE,79,West,1
ACC0085,InfoEdge Textiles Pvt Ltd,Textile,212000,116,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,16,Central,0
ACC0086,Global Solutions,Technology,81000,36,0.77,57,0.17,0.74,16,TRUE,1,FALSE,47,North,1
ACC0087,Bharat Manufacturing,Manufacturing,1520000,78,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,19,South,0
ACC0088,Zenith Traders,Retail,109000,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,35,East,1
ACC0089,Red Pharma,Healthcare,525000,39,0.80,41,0.06,0.63,12,TRUE,1,FALSE,67,West,1
ACC0090,Lakshmi Constructions,Construction,2750000,172,0.35,6,-0.34,0.08,2,FALSE,10,TRUE,9,North,0
ACC0091,Tata Enterprises Pvt Ltd,Food & Beverage,119000,60,0.61,30,0.00,0.43,8,FALSE,4,FALSE,29,South,1
ACC0092,Aditya Exports,E-commerce,3750000,40,0.92,160,0.49,0.92,42,TRUE,0,FALSE,83,East,1
ACC0093,National Textiles,Textile,204000,124,0.33,14,-0.41,0.18,4,FALSE,9,TRUE,15,West,0
ACC0094,Blue Tech,Technology,88000,34,0.81,63,0.20,0.77,18,TRUE,1,FALSE,52,Central,1
ACC0095,Ganesh Manufacturing,Manufacturing,1620000,89,0.48,43,-0.15,0.28,12,FALSE,7,TRUE,22,North,0
ACC0096,Reliance Logistics,Retail,114000,56,0.70,28,0.01,0.43,7,TRUE,3,FALSE,38,South,1
ACC0097,Apex Pharma,Healthcare,570000,37,0.81,40,0.07,0.62,12,TRUE,1,FALSE,66,East,1
ACC0098,Surya Constructions Pvt Ltd,Construction,2480000,159,0.39,8,-0.29,0.09,3,FALSE,9,TRUE,12,West,0
ACC0099,Rapid Enterprises,Food & Beverage,123000,62,0.59,31,-0.01,0.44,8,FALSE,4,FALSE,28,North,1
ACC0100,Vijay Exports,E-commerce,3550000,42,0.90,152,0.46,0.90,40,TRUE,1,FALSE,80,South,1
ACC0101,InfoEdge Textiles,Textile,216000,114,0.35,10,-0.37,0.20,4,FALSE,8,FALSE,14,East,0
ACC0102,Global Solutions,Technology,85000,35,0.79,58,0.18,0.75,17,TRUE,1,FALSE,49,West,1
ACC0103,Bharat Manufacturing,Manufacturing,1590000,83,0.51,39,-0.13,0.31,11,FALSE,6,TRUE,21,Central,0
ACC0104,Zenith Traders,Retail,111000,57,0.68,27,0.00,0.41,7,TRUE,3,FALSE,37,North,1
ACC0105,Red Pharma Pvt Ltd,Healthcare,550000,39,0.82,41,0.05,0.64,12,TRUE,1,FALSE,65,South,1
ACC0106,Lakshmi Constructions,Construction,2680000,169,0.37,7,-0.31,0.10,2,FALSE,10,TRUE,10,East,0
ACC0107,Tata Enterprises,Food & Beverage,117000,61,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,West,1
ACC0108,Aditya Exports,E-commerce,3680000,41,0.91,156,0.48,0.91,41,TRUE,0,FALSE,82,North,1
ACC0109,National Textiles,Textile,203000,121,0.34,13,-0.40,0.20,4,FALSE,9,TRUE,16,South,0
ACC0110,Blue Tech,Technology,86500,33,0.80,61,0.19,0.78,18,TRUE,1,FALSE,50,East,1
ACC0111,Ganesh Manufacturing Pvt Ltd,Manufacturing,1490000,87,0.52,41,-0.15,0.29,11,FALSE,6,FALSE,20,West,0
ACC0112,Reliance Logistics,Retail,112500,57,0.69,26,0.01,0.42,7,TRUE,3,FALSE,35,Central,1
ACC0113,Apex Pharma,Healthcare,515000,38,0.83,42,0.04,0.61,12,TRUE,1,FALSE,64,North,1
ACC0114,Surya Constructions,Construction,2580000,164,0.38,9,-0.30,0.09,3,FALSE,10,TRUE,11,South,0
ACC0115,Rapid Enterprises,Food & Beverage,126000,63,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,East,1
ACC0116,Vijay Exports,E-commerce,3450000,43,0.88,148,0.44,0.89,39,TRUE,1,FALSE,79,West,1
ACC0117,InfoEdge Textiles,Textile,214000,117,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,15,North,0
ACC0118,Global Solutions Pvt Ltd,Technology,81500,36,0.77,57,0.17,0.74,16,TRUE,1,FALSE,47,South,1
ACC0119,Bharat Manufacturing,Manufacturing,1530000,79,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,19,East,0
ACC0120,Zenith Traders,Retail,109500,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,36,West,1
ACC0121,Red Pharma,Healthcare,530000,39,0.80,41,0.06,0.63,12,TRUE,1,FALSE,67,Central,1
ACC0122,Lakshmi Constructions,Construction,2780000,173,0.35,6,-0.34,0.08,2,FALSE,10,TRUE,9,North,0
ACC0123,Tata Enterprises,Food & Beverage,120000,60,0.61,30,0.00,0.43,8,FALSE,4,FALSE,30,South,1
ACC0124,Aditya Exports Pvt Ltd,E-commerce,3780000,40,0.92,162,0.49,0.92,42,TRUE,0,FALSE,83,East,1
ACC0125,National Textiles,Textile,206000,123,0.33,14,-0.41,0.18,4,FALSE,9,TRUE,16,West,0
ACC0126,Blue Tech,Technology,88500,34,0.81,63,0.20,0.77,18,TRUE,1,FALSE,51,North,1
ACC0127,Ganesh Manufacturing,Manufacturing,1630000,89,0.48,43,-0.15,0.28,12,FALSE,7,TRUE,22,South,0
ACC0128,Reliance Logistics,Retail,114500,56,0.70,28,0.01,0.43,7,TRUE,3,FALSE,38,East,1
ACC0129,Apex Pharma,Healthcare,575000,37,0.81,40,0.07,0.62,12,TRUE,1,FALSE,66,West,1
ACC0130,Surya Constructions,Construction,2500000,160,0.39,8,-0.29,0.09,3,FALSE,9,TRUE,12,Central,0
ACC0131,Rapid Enterprises Pvt Ltd,Food & Beverage,124000,62,0.59,31,-0.01,0.44,8,FALSE,4,FALSE,28,North,1
ACC0132,Vijay Exports,E-commerce,3580000,42,0.90,154,0.46,0.90,40,TRUE,1,FALSE,80,South,1
ACC0133,InfoEdge Textiles,Textile,218000,113,0.35,10,-0.37,0.20,4,FALSE,8,FALSE,14,East,0
ACC0134,Global Solutions,Technology,85500,35,0.79,59,0.18,0.75,17,TRUE,1,FALSE,49,West,1
ACC0135,Bharat Manufacturing,Manufacturing,1600000,84,0.51,39,-0.13,0.31,11,FALSE,6,TRUE,21,North,0
ACC0136,Zenith Traders,Retail,111500,57,0.68,27,0.00,0.41,7,TRUE,3,FALSE,37,South,1
ACC0137,Red Pharma,Healthcare,555000,39,0.82,41,0.05,0.64,12,TRUE,1,FALSE,65,East,1
ACC0138,Lakshmi Constructions Pvt Ltd,Construction,2700000,170,0.37,7,-0.31,0.10,2,FALSE,10,TRUE,10,West,0
ACC0139,Tata Enterprises,Food & Beverage,118000,61,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,Central,1
ACC0140,Aditya Exports,E-commerce,3700000,41,0.91,157,0.48,0.91,41,TRUE,0,FALSE,82,North,1
ACC0141,National Textiles,Textile,204000,120,0.34,13,-0.40,0.20,4,FALSE,9,TRUE,16,South,0
ACC0142,Blue Tech,Technology,87000,33,0.80,61,0.19,0.78,18,TRUE,1,FALSE,50,East,1
ACC0143,Ganesh Manufacturing,Manufacturing,1500000,87,0.52,41,-0.15,0.29,11,FALSE,6,FALSE,20,West,0
ACC0144,Reliance Logistics Pvt Ltd,Retail,113000,57,0.69,26,0.01,0.42,7,TRUE,3,FALSE,35,North,1
ACC0145,Apex Pharma,Healthcare,520000,38,0.83,42,0.04,0.61,12,TRUE,1,FALSE,64,South,1
ACC0146,Surya Constructions,Construction,2600000,164,0.38,9,-0.30,0.09,3,FALSE,10,TRUE,11,East,0
ACC0147,Rapid Enterprises,Food & Beverage,127000,63,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,West,1
ACC0148,Vijay Exports,E-commerce,3480000,43,0.88,147,0.44,0.89,39,TRUE,1,FALSE,79,Central,1
ACC0149,InfoEdge Textiles,Textile,215000,117,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,15,North,0
ACC0150,Global Solutions,Technology,82000,36,0.77,57,0.17,0.74,16,TRUE,1,FALSE,47,South,1
ACC0151,Bharat Manufacturing Pvt Ltd,Manufacturing,1540000,79,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,19,East,0
ACC0152,Zenith Traders,Retail,110000,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,36,West,1
ACC0153,Red Pharma,Healthcare,535000,39,0.80,41,0.06,0.63,12,TRUE,1,FALSE,67,North,1
ACC0154,Lakshmi Constructions,Construction,2800000,173,0.35,6,-0.34,0.08,2,FALSE,10,TRUE,9,South,0
ACC0155,Tata Enterprises,Food & Beverage,121000,60,0.61,30,0.00,0.43,8,FALSE,4,FALSE,30,East,1
ACC0156,Aditya Exports,E-commerce,3800000,40,0.92,163,0.49,0.92,42,TRUE,0,FALSE,83,West,1
ACC0157,National Textiles Pvt Ltd,Textile,208000,123,0.33,14,-0.41,0.18,4,FALSE,9,TRUE,16,Central,0
ACC0158,Blue Tech,Technology,89000,34,0.81,64,0.20,0.77,18,TRUE,1,FALSE,51,North,1
ACC0159,Ganesh Manufacturing,Manufacturing,1640000,89,0.48,43,-0.15,0.28,12,FALSE,7,TRUE,22,South,0
ACC0160,Reliance Logistics,Retail,115000,56,0.70,28,0.01,0.43,7,TRUE,3,FALSE,38,East,1
ACC0161,Apex Pharma,Healthcare,580000,37,0.81,40,0.07,0.62,12,TRUE,1,FALSE,66,West,1
ACC0162,Surya Constructions,Construction,2520000,160,0.39,8,-0.29,0.09,3,FALSE,9,TRUE,12,North,0
ACC0163,Rapid Enterprises Pvt Ltd,Food & Beverage,125000,62,0.59,31,-0.01,0.44,8,FALSE,4,FALSE,28,South,1
ACC0164,Vijay Exports,E-commerce,3600000,42,0.90,153,0.46,0.90,40,TRUE,1,FALSE,80,East,1
ACC0165,InfoEdge Textiles,Textile,220000,113,0.35,10,-0.37,0.20,4,FALSE,8,FALSE,14,West,0
ACC0166,Global Solutions,Technology,86000,35,0.79,59,0.18,0.75,17,TRUE,1,FALSE,49,Central,1
ACC0167,Bharat Manufacturing,Manufacturing,1610000,84,0.51,39,-0.13,0.31,11,FALSE,6,TRUE,21,North,0
ACC0168,Zenith Traders,Retail,112000,57,0.68,27,0.00,0.41,7,TRUE,3,FALSE,37,South,1
ACC0169,Red Pharma Pvt Ltd,Healthcare,560000,39,0.82,41,0.05,0.64,12,TRUE,1,FALSE,65,East,1
ACC0170,Lakshmi Constructions,Construction,2720000,170,0.37,7,-0.31,0.10,2,FALSE,10,TRUE,10,West,0
ACC0171,Tata Enterprises,Food & Beverage,119000,61,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,North,1
ACC0172,Aditya Exports,E-commerce,3720000,41,0.91,157,0.48,0.91,41,TRUE,0,FALSE,82,South,1
ACC0173,National Textiles,Textile,205000,120,0.34,13,-0.40,0.20,4,FALSE,9,TRUE,16,East,0
ACC0174,Blue Tech,Technology,87500,33,0.80,62,0.19,0.78,18,TRUE,1,FALSE,50,West,1
ACC0175,Ganesh Manufacturing,Manufacturing,1510000,87,0.52,41,-0.15,0.29,11,FALSE,6,FALSE,20,Central,0
ACC0176,Reliance Logistics,Retail,113500,57,0.69,26,0.01,0.42,7,TRUE,3,FALSE,35,North,1
ACC0177,Apex Pharma Pvt Ltd,Healthcare,525000,38,0.83,42,0.04,0.61,12,TRUE,1,FALSE,64,South,1
ACC0178,Surya Constructions,Construction,2620000,164,0.38,9,-0.30,0.09,3,FALSE,10,TRUE,11,East,0
ACC0179,Rapid Enterprises,Food & Beverage,128000,63,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,West,1
ACC0180,Vijay Exports,E-commerce,3500000,43,0.88,146,0.44,0.89,39,TRUE,1,FALSE,79,North,1
ACC0181,InfoEdge Textiles,Textile,217000,117,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,15,South,0
ACC0182,Global Solutions,Technology,82500,36,0.77,57,0.17,0.74,16,TRUE,1,FALSE,47,East,1
ACC0183,Bharat Manufacturing,Manufacturing,1550000,79,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,19,West,0
ACC0184,Zenith Traders Pvt Ltd,Retail,110500,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,36,Central,1
ACC0185,Red Pharma,Healthcare,540000,39,0.80,41,0.06,0.63,12,TRUE,1,FALSE,67,North,1
ACC0186,Lakshmi Constructions,Construction,2820000,173,0.35,6,-0.34,0.08,2,FALSE,10,TRUE,9,South,0
ACC0187,Tata Enterprises,Food & Beverage,122000,60,0.61,30,0.00,0.43,8,FALSE,4,FALSE,30,East,1
ACC0188,Aditya Exports,E-commerce,3820000,40,0.92,161,0.49,0.92,42,TRUE,0,FALSE,83,West,1
ACC0189,National Textiles,Textile,210000,123,0.33,14,-0.41,0.18,4,FALSE,9,TRUE,16,North,0
ACC0190,Blue Tech,Technology,89500,34,0.81,63,0.20,0.77,18,TRUE,1,FALSE,51,South,1
ACC0191,Ganesh Manufacturing Pvt Ltd,Manufacturing,1650000,89,0.48,43,-0.15,0.28,12,FALSE,7,TRUE,22,East,0
ACC0192,Reliance Logistics,Retail,115500,56,0.70,28,0.01,0.43,7,TRUE,3,FALSE,38,West,1
ACC0193,Apex Pharma,Healthcare,585000,37,0.81,40,0.07,0.62,12,TRUE,1,FALSE,66,Central,1
ACC0194,Surya Constructions,Construction,2540000,160,0.39,8,-0.29,0.09,3,FALSE,9,TRUE,12,North,0
ACC0195,Rapid Enterprises,Food & Beverage,126000,62,0.59,31,-0.01,0.44,8,FALSE,4,FALSE,28,South,1
ACC0196,Vijay Exports Pvt Ltd,E-commerce,3620000,42,0.90,152,0.46,0.90,40,TRUE,1,FALSE,80,East,1
ACC0197,InfoEdge Textiles,Textile,222000,113,0.35,10,-0.37,0.20,4,FALSE,8,FALSE,14,West,0
ACC0198,Global Solutions,Technology,86500,35,0.79,59,0.18,0.75,17,TRUE,1,FALSE,49,North,1
ACC0199,Bharat Manufacturing,Manufacturing,1620000,84,0.51,39,-0.13,0.31,11,FALSE,6,TRUE,21,South,0
ACC0200,Zenith Traders,Retail,112500,57,0.68,27,0.00,0.41,7,TRUE,3,FALSE,37,East,1
ACC0201,Red Pharma,Healthcare,565000,39,0.82,41,0.05,0.64,12,TRUE,1,FALSE,65,West,1
ACC0202,Lakshmi Constructions Pvt Ltd,Construction,2740000,170,0.37,7,-0.31,0.10,2,FALSE,10,TRUE,10,Central,0
ACC0203,Tata Enterprises,Food & Beverage,120000,61,0.60,30,0.00,0.43,8,FALSE,4,FALSE,29,North,1
ACC0204,Aditya Exports,E-commerce,3740000,41,0.91,158,0.48,0.91,41,TRUE,0,FALSE,82,South,1
ACC0205,National Textiles,Textile,206000,120,0.34,13,-0.40,0.20,4,FALSE,9,TRUE,16,East,0
ACC0206,Blue Tech,Technology,88000,33,0.80,61,0.19,0.78,18,TRUE,1,FALSE,50,West,1
ACC0207,Ganesh Manufacturing,Manufacturing,1520000,87,0.52,41,-0.15,0.29,11,FALSE,6,FALSE,20,North,0
ACC0208,Reliance Logistics Pvt Ltd,Retail,114000,57,0.69,26,0.01,0.42,7,TRUE,3,FALSE,35,South,1
ACC0209,Apex Pharma,Healthcare,530000,38,0.83,42,0.04,0.61,12,TRUE,1,FALSE,64,East,1
ACC0210,Surya Constructions,Construction,2640000,164,0.38,9,-0.30,0.09,3,FALSE,10,TRUE,11,West,0
ACC0211,Rapid Enterprises,Food & Beverage,129000,63,0.58,29,-0.02,0.45,8,FALSE,4,FALSE,28,Central,1
ACC0212,Vijay Exports,E-commerce,3520000,43,0.88,147,0.44,0.89,39,TRUE,1,FALSE,79,North,1
ACC0213,InfoEdge Textiles,Textile,219000,117,0.36,11,-0.38,0.19,4,FALSE,8,FALSE,15,South,0
ACC0214,Global Solutions,Technology,83000,36,0.77,57,0.17,0.74,16,TRUE,1,FALSE,47,East,1
ACC0215,Bharat Manufacturing Pvt Ltd,Manufacturing,1560000,79,0.50,38,-0.12,0.30,10,FALSE,6,TRUE,19,West,0
ACC0216,Zenith Traders,Retail,111000,58,0.67,26,0.02,0.40,7,TRUE,3,FALSE,36,North,1
ACC0217,Red Pharma,Healthcare,545000,39,0.80,41,0.06,0.63,12,TRUE,1,FALSE,67,South,1
ACC0218,Lakshmi Constructions,Construction,2840000,173,0.35,6,-0.34,0.08,2,FALSE,10,TRUE,9,East,0
ACC0219,Tata Enterprises,Food & Beverage,123000,60,0.61,30,0.00,0.43,8,FALSE,4,FALSE,30,West,1
ACC0220,Aditya Exports,E-commerce,3840000,40,0.92,161,0.49,0.92,42,TRUE,0,FALSE,83,Central,1
ACC0221,National Textiles,Textile,212000,123,0.33,14,-0.41,0.18,4,FALSE,9,TRUE,16,North,0
ACC0222,Blue Tech Pvt Ltd,Technology,90000,34,0.81,64,0.20,0.77,18,TRUE,1,FALSE,51,South,1
ACC0223,Ganesh Manufacturing,Manufacturing,1660000,89,0.48,43,-0.15,0.28,12,FALSE,7,TRUE,22,East,0
ACC0224,Reliance Logistics,Retail,116000,56,0.70,28,0.01,0.43,7,TRUE,3,FALSE,38,West,1
ACC0225,Apex Pharma,Healthcare,590000,37,0.81,40,0.07,0.62,12,TRUE,1,FALSE,66,North,1
